TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE
e_e001134,e001134,21;22;26;6
e_e001137,e001137,22;4
e_e001140,e001140,11;21;22
e_e001142,e001142,1;2;23;3;4
e_e001146,e001146,21;27;6
e_e001147,e001147,1;12;22;3;4
e_e001149,e001149,1;2;4;5;7
e_e001150,e001150,24;28;3;5;8
e_e001159,e001159,1;22;26;4;7
e_e001164,e001164,1;22;26;7
e_e001166,e001166,1;4;6;23;22;21;26;11;3
e_e001171,e001171,21;22;24
e_e001172,e001172,3;13;22;26
e_e001173,e001173,22;6;8
e_e001174,e001174,1;23;4;6;9
e_e001176,e001176,22;5
e_e001178,e001178,22;3;4;6;7
e_e001180,e001180,2;28;12
e_e001182,e001182,21;3;5;8;9
e_e001183,e001183,11;2;5;6;7
e_e001188,e001188,2
e_e001190,e001190,1;2;21;4;7
e_e001194,e001194,2;22;4;6
e_e001200,e001200,21;22;26;27;4
e_e001201,e001201,22;24;26
e_e001207,e001207,1;4;11;6;21;22;23
e_e001211,e001211,3
e_e001212,e001212,1;10;11;23;4
e_e001215,e001215,2;21;22
e_e001218,e001218,3
e_e001220,e001220,21;22;24;26;27
e_e001230,e001230,8
e_e001233,e001233,1;2;22;6
e_e001238,e001238,1;4;22;21;24
e_e001239,e001239,12;13;2;24;27
e_e001243,e001243,21;22;23;4;5
e_e001244,e001244,1;23;26;3;4
e_e001246,e001246,1;2;22;26
e_e001247,e001247,24;3;1;4;6;22;21
e_e001251,e001251,21;23;3;4;6
e_e001252,e001252,1;11;2;27
e_e001254,e001254,1;21;24;28;6
e_e001257,e001257,2
e_e001261,e001261,8
e_e001262,e001262,13;22;3
e_e001264,e001264,1;22;24;4
e_e001265,e001265,2;3;4;5;6
e_e001267,e001267,2;6
e_e001271,e001271,21;27;3;5;8
e_e001276,e001276,22;24;5;9
e_e001279,e001279,1;22;24;26;27
e_e001280,e001280,26;22;9;4;6
e_e001281,e001281,21;22;24;5;8
e_e001287,e001287,2;26
e_e001291,e001291,11;26
e_e001295,e001295,22;3;6
e_e001296,e001296,13
e_e001301,e001301,6;7;21;22;4
e_e001308,e001308,2
e_e001312,e001312,1;10;5;8
e_e001314,e001314,13;28
e_e001316,e001316,1;2;6;7;9
e_e001321,e001321,3;4;1;26
e_e001325,e001325,1;21;22;4;6
e_e001326,e001326,21;22;26
e_e001329,e001329,1;10;22;23;26;6;4
e_e001330,e001330,2
e_e001331,e001331,2;21;22
e_e001341,e001341,1;2;3;6;11;21;22;26;27
e_e001344,e001344,21;22;4
e_e001346,e001346,1;11;4;7;9
e_e001351,e001351,22;26
e_e001356,e001356,3;6
e_e001360,e001360,22;5
e_e001372,e001372,1;10;22;23;4
e_e001377,e001377,3;6
e_e001380,e001380,1;2;22;4;6
e_e001382,e001382,6;22
e_e001384,e001384,2;22;25
e_e001386,e001386,12;21;22;24;27
e_e001392,e001392,2;21
e_e001396,e001396,1;4
e_e001400,e001400,2;22
e_e001408,e001408,2;3;4;8;9
e_e001409,e001409,21;22;8
e_e001411,e001411,7
e_e001412,e001412,1;4;22;23;21
e_e001413,e001413,22;24;26;6
e_e001414,e001414,1;11;27;4;6
e_e001415,e001415,21;24;26;27
e_e001416,e001416,21;28;5
e_e001421,e001421,12;22;3;4;6
e_e001422,e001422,1;2;22;3;8
e_e001424,e001424,12;22;26
e_e001426,e001426,1;2;3;4;5
e_e001427,e001427,1;11;2;22;4
e_e001428,e001428,1;22;26;6;9
e_e001429,e001429,11;2;6
e_e001430,e001430,1;11;3;6;9
e_e001432,e001432,1;22;4
e_e001434,e001434,11;22;6
e_e001436,e001436,8
e_e001440,e001440,11;22;5;6;9
e_e001448,e001448,2;21;22;24;9
e_e001449,e001449,21;27;8
e_e001452,e001452,2;21;22;24;4
e_e001458,e001458,1;21;22;26;4
e_e001459,e001459,21;22;27;3
e_e001464,e001464,22;4;6
e_e001467,e001467,12;2;22;3;4
e_e001468,e001468,2;21;22;24
e_e001470,e001470,1;4;5;6;7;10;9;26;22
e_e001471,e001471,1
e_e001480,e001480,22;26
e_e001482,e001482,22;23;26;4;6
e_e001485,e001485,22;5
e_e001489,e001489,1;2;4;7;11;21;22;24;27;26
e_e001499,e001499,1;4;6;7;9
e_e001503,e001503,10;21;22;24;26
e_e001510,e001510,1;4
e_e001519,e001519,22
e_e001521,e001521,2
e_e001522,e001522,26;28;5;8
e_e001523,e001523,21
e_e001525,e001525,21;22;5
e_e001526,e001526,23;26;3;4;6
e_e001529,e001529,1;22;24;26;5
e_e001530,e001530,11;24;22;26;4;1
e_e001532,e001532,2
e_e001534,e001534,21;22;24;26;3
e_e001538,e001538,22;24;26;7;8
e_e001542,e001542,1;21;22;23;5
e_e001544,e001544,12;22;26;3
e_e001548,e001548,1;3;12;2;6;22;24;26;7;9;10;13
e_e001553,e001553,26
e_e001554,e001554,7;5;8;12;22;28
e_e001557,e001557,22;24;4
e_e001559,e001559,6;4;1
e_e001563,e001563,1
e_e001564,e001564,1;11;22;3;6
e_e001565,e001565,2;22;26;6;9
e_e001568,e001568,1;2;24
e_e001569,e001569,21;22;26;3;4
e_e001571,e001571,2;21;22;23;9
e_e001576,e001576,1;22;26
e_e001577,e001577,2;22
e_e001578,e001578,1;3
e_e001888,e001888,10;2
e_e001890,e001890,22;3;4;1;21
e_e001891,e001891,5;22;8;22
e_e001892,e001892,6;10;22;22
e_e001897,e001897,24;6;9
e_e001899,e001899,6;7
e_e001900,e001900,13;22;24;6
e_e001905,e001905,1;22;3;4;6
e_e001909,e001909,3
e_e001911,e001911,11;22;23;4;8
e_e001913,e001913,22;23;24;27
e_e001914,e001914,2;24;26;5;6
e_e001916,e001916,1;2;23;4;6
e_e001923,e001923,22;28
e_e001924,e001924,1;11;12;22;3
e_e001926,e001926,1;21;22;23;26
e_e001935,e001935,1;22;23;24;9
e_e001936,e001936,9;22;26;2
e_e001937,e001937,2;22
e_e001940,e001940,22;6;24
e_e001944,e001944,3
e_e001949,e001949,1;2;4;6;9
e_e001950,e001950,12;22;3;6
e_e001955,e001955,2;22;6
e_e001968,e001968,21;27;28;3;5
e_e001972,e001972,1;4;6
e_e001976,e001976,4;1;2;6;7;9;11;13;12;22;23;24;26
e_e001982,e001982,22;24;25
e_e001987,e001987,12;21;22;26;8
e_e001989,e001989,1;22;5
e_e001990,e001990,1;2;22;26
e_e001993,e001993,1;6
e_e001996,e001996,1;21;22;6;7
e_e001997,e001997,22;7
e_e002011,e002011,1;22;24;26;6
e_e002013,e002013,24;26;7
e_e002014,e002014,1;10;7
e_e002018,e002018,21
e_e002024,e002024,6
e_e002025,e002025,27;3;4;5;6
e_e002030,e002030,21;3;5
e_e002033,e002033,1;22;26
e_e002034,e002034,3;6;12;26;22
e_e002035,e002035,3
e_e002036,e002036,10;21;3;6;9
e_e002038,e002038,2;6;26
e_e002045,e002045,1;1;7;10
e_e002049,e002049,1;22;24;6;9
e_e002051,e002051,1;22;3;4
e_e002053,e002053,1;22;26;4;7
e_e002056,e002056,12;21;22;5;9
e_e002058,e002058,22
e_e002059,e002059,3;21;24;26;26;24;21;3
e_e002064,e002064,1;4
e_e002066,e002066,10;2;22;26
e_e002069,e002069,1;2;4;6
e_e002070,e002070,1;2;6
e_e002071,e002071,25;28;22;26;24;21;27;13;2;5
e_e002074,e002074,1;3;4;22
e_e002076,e002076,22;3;4;9
e_e002077,e002077,1;21;22;24;26
e_e002079,e002079,2;21;22;26;27;12;9
e_e002081,e002081,22;23;26
e_e002082,e002082,1;22;23;27;3
e_e002084,e002084,21;2
e_e002089,e002089,3;22
e_e002092,e002092,1;7
e_e002093,e002093,1;4;6;22;24;26
e_e002097,e002097,22;23;4;6
e_e002099,e002099,22;12;1;2;23
e_e002106,e002106,1;12;3
e_e002108,e002108,1;4;9
e_e002110,e002110,1;22;24;27;4
e_e002121,e002121,1;4;6
e_e002126,e002126,1;11;5;9
e_e002130,e002130,22;4;6;8
e_e002131,e002131,5;22;24;27;21;13;8
e_e002132,e002132,2;22;24;26;4
e_e002135,e002135,22;8
e_e002136,e002136,1;22;26;4;7
e_e002141,e002141,1;2;4;6;9
e_e002143,e002143,1;9;6;21;22;11
e_e002145,e002145,6;4
e_e002148,e002148,22;23;3;6
e_e002152,e002152,1;22;26
e_e002154,e002154,22;24;5
e_e002157,e002157,1;12;22;25;27
e_e002158,e002158,21;22;24;28;3
e_e002159,e002159,22;25;27;28;3
e_e002160,e002160,22
e_e002161,e002161,1;2;21;22;4
e_e002163,e002163,2;1
e_e002168,e002168,1;22;24;5
e_e002169,e002169,22;4
e_e002171,e002171,22;3;4;6;9
e_e002176,e002176,22
e_e002178,e002178,11;2;22;6;9
e_e002182,e002182,10;13;2;22
e_e002183,e002183,4;6;21;22
e_e002184,e002184,22;26;8
e_e002186,e002186,21;22;26;4;7
e_e002187,e002187,2;22
e_e002189,e002189,1;3;4;6
e_e002197,e002197,1;2;22;6
e_e002198,e002198,2;4;5;6;7
e_e002202,e002202,1;27;3;4
e_e002204,e002204,22;24;26
e_e002206,e002206,6;22
e_e002209,e002209,21;22;23;6;9
e_e002212,e002212,1;21;22;27;28
e_e002213,e002213,1
e_e002214,e002214,2;1;4;6;7;21;22;24;26;27
e_e002215,e002215,2;22;23;24;26
e_e002220,e002220,23;1
e_e002222,e002222,1;2;6
e_e002231,e002231,22;4
e_e002233,e002233,1;22;26;4;6
e_e002234,e002234,1;10;21;22;4
e_e002235,e002235,21;22;4;6
e_e002236,e002236,1;2;6;7
e_e002243,e002243,26;6;4;24
e_e002246,e002246,2;21;22;24;26
e_e002248,e002248,21;22;23
e_e002250,e002250,11;2;21;22;24
e_e002251,e002251,24;25
e_e002253,e002253,1;3;9
e_e002254,e002254,4;1;7;26
e_e002255,e002255,3;8;21;27;1;6
e_e002259,e002259,1;11;4;6;9
e_e002260,e002260,1;3;4;6
e_e002263,e002263,2;22;21;1
e_e002264,e002264,21;27;28
e_e002266,e002266,25;22;2;4;12;21
e_e002272,e002272,21;6;8
e_e002279,e002279,1;21;22;24
e_e002283,e002283,6
e_e002284,e002284,1;2;22;24;27
e_e002288,e002288,22;6
e_e002289,e002289,2;22;24;21;4;6
e_e002291,e002291,1;26;22;6
e_e002304,e002304,2;5;8
e_e002306,e002306,1
e_e002308,e002308,4;2;24;22;23
e_e002310,e002310,21;22;25;26;3
e_e002313,e002313,1;23;24;26;4
e_e002314,e002314,22;4
e_e002316,e002316,5;6;9;22
e_e002318,e002318,22;23;26
e_e002323,e002323,1;3;6;21;22
e_e002330,e002330,1;27;3;4;5
e_e002332,e002332,22;4;1
e_e002336,e002336,27;21;3;21
e_e002340,e002340,1;4;6
e_e002342,e002342,22;24;3;5
e_e002351,e002351,22;23;27;28
e_e002364,e002364,12;22;3
e_e002375,e002375,3;11;6;21
e_e002376,e002376,1;21;24;3
e_e002389,e002389,1;21
e_e002391,e002391,1;21;22;24;26
e_e002392,e002392,24
e_e002394,e002394,22;8
e_e002396,e002396,8
e_e002399,e002399,2;5;6;8;9
e_e002401,e002401,1;24;27;4;5
e_e002402,e002402,1;2;3;4;5
e_e002405,e002405,13;21;9
e_e002409,e002409,12;22;4
e_e002410,e002410,11;2;26;6
e_e002411,e002411,1;26;4
e_e002412,e002412,1;12;22;4;6
e_e002414,e002414,1;4
e_e002415,e002415,2;22;4;6;9
e_e002421,e002421,22;5
e_e002422,e002422,1;6
e_e002423,e002423,1;2;3;5;6;9;12;21;22;24;26;28
e_e002425,e002425,27;28;6;1
e_e002433,e002433,22;1
e_e002437,e002437,21;22;27
e_e002451,e002451,1;3;4;5;7
e_e002456,e002456,12;22
e_e002462,e002462,11;2;22;26;6
e_e002465,e002465,1;22;24;6
e_e002467,e002467,1;2;22;23;24
e_e002470,e002470,6;6;3;3
e_e002471,e002471,12;2;21;22;9
e_e002476,e002476,24;27;6;9
e_e002477,e002477,21;27;3
e_e002479,e002479,23
e_e002481,e002481,22;6
e_e002483,e002483,1;12;13;3;6
e_e002491,e002491,22;27;8
e_e002495,e002495,5
e_e002506,e002506,22;27;8
e_e002507,e002507,1;13;2;21;27
e_e002508,e002508,1;7;21;22
e_e002511,e002511,24
e_e002513,e002513,27
e_e002514,e002514,2;21;22;24;8
e_e002527,e002527,1;21;3
e_e002536,e002536,21;22;26;28;3
e_e002541,e002541,22;23;24;4
e_e002548,e002548,4;9;6;26
e_e002550,e002550,12;2;22;26;3
e_e002551,e002551,1;22;26
e_e002555,e002555,12;22;23;25;27
e_e002556,e002556,1;22;4
e_e002557,e002557,1;23;3;4;6
e_e002558,e002558,7;7;22
e_e002565,e002565,6;2;22;4
e_e002566,e002566,4;22;1
e_e002569,e002569,1;6;7;3;12
e_e002570,e002570,21;22;24;26
e_e002572,e002572,1;4;6;22;26;28
e_e002574,e002574,1;22;4;6;9
e_e002576,e002576,1;11;22;23;4
e_e002577,e002577,2;22;3;6;8
e_e002579,e002579,13;6;9
e_e002582,e002582,3;6;22;4;1;11;23;7;1;24;21
e_e002583,e002583,22;7
e_e002584,e002584,2;23;6
e_e002589,e002589,12;26;22
e_e002590,e002590,22;11;26;21
e_e002593,e002593,28
e_e002597,e002597,5;8
e_e002599,e002599,25
e_e002600,e002600,1
e_e002605,e002605,12;22;3
e_e002606,e002606,11;21;27;4;6
e_e002607,e002607,22;25
e_e002610,e002610,2;21
e_e002622,e002622,2;21
e_e002625,e002625,1;22;23
e_e002627,e002627,1;2;22;5;8
e_e002633,e002633,10;22;26
e_e002634,e002634,4;6;22
e_e002635,e002635,21;22;26;27;9
e_e002638,e002638,1;23;24;26;27
e_e002641,e002641,1;22;26;6;4
e_e002650,e002650,1;22;24;26
e_e002662,e002662,1;22
e_e002673,e002673,10;2;21;5
e_e002677,e002677,1;22;23;26
e_e002681,e002681,1;12;3;5;6
e_e002683,e002683,21;22;24;26;5
e_e002684,e002684,1;11;22;6
e_e002697,e002697,1;22;7
e_e002699,e002699,2;21;22;26
e_e002705,e002705,21;22;26;5
e_e002719,e002719,10;2;4;5
e_e002721,e002721,1;26;6
e_e002728,e002728,2;21;22;26;5
e_e002736,e002736,1;21;4;6
e_e002737,e002737,13;6
e_e002739,e002739,1;26;3;6
e_e002740,e002740,1;23;4;5
e_e002742,e002742,21;24;27;3;6
e_e002745,e002745,1;21;22;26;7
e_e002746,e002746,1;4;22;26
e_e002747,e002747,3;22;26;27;28;21;12;11
e_e002753,e002753,11;2;23;6;7
e_e002754,e002754,22;26;4;6
e_e002755,e002755,1;3;4;6;22
e_e002756,e002756,10;2;22;26
e_e002759,e002759,1
e_e002760,e002760,11;2;22;24
e_e002763,e002763,23;24
e_e002764,e002764,2;22;25;26;28
e_e002767,e002767,1;21;22;27
e_e002770,e002770,1;23
e_e002773,e002773,1;2;3;4;5
e_e002775,e002775,2;27;28
e_e002782,e002782,21;22;24;8
e_e002784,e002784,1;27;3;24;22;21;6
e_e002786,e002786,2;26
e_e002793,e002793,10;3
e_e002800,e002800,2;22;23;24;26
e_e002812,e002812,1;22;4
e_e002915,e002915,25
e_e002916,e002916,22;6
e_e002922,e002922,1;22;24;26;4
e_e002923,e002923,22;8
