VISIT_AREA_TYPE_CD,VISIT_AREA_NM
1,북촌 한옥마을
4,낙원악기상가
9,센트럴시티터미널(호남)
4,현대 프리미엄 아울렛 김포점
4,롯데몰 김포공항점
11,미소야 일산 화정점
13,고양어린이 박물관
11,본가신숙희 진골막국수
6,아침고요 수목원
4,나무 아래 오후 N
24,파르티아 워터하우스
10,가평군 농협 하나로마트 설악점
11,연청 국장
13,가평 양떼목장
12,윤명로
4,카페 아우라
9,화도 졸음쉼터 양양 방향
10,남도 사골 순댓국 본점
11,스타벅스 화성 남양 DT점
24,호텔 헤르메스
11,마시다 초밥 이자카야
4,준코인 노래연습장
12,현대자동차 남양기술연구소 후문
9,서울역
11,머슴 고기 화성 시청 본점
11,티 카페 차희
2,남양성모성지
9,수원역
9,용산역
11,향유 갈비
6,허브아일랜드
1,소요산
2,서울 시티투어버스
11,나주 소 나주곰탕 경복궁점
2,광화문광장
11,스타벅스 광화문점
2,경복궁
11,꼬꼬 오리주물럭
4,캐널시티
11,포지티브 스페이스 566
9,가평역 경춘선
11,오서방네 조개찜
4,카페 가우디
11,가인
11,동백정 팔탄점
24,호텔 더 메이
12,월문온천
11,한우 강국
11,더 포레 베이커리
10,모던하우스 용산 아이파크몰점
10,SK엔크린 서울 하이패스센터 LPG 충전소
6,에버랜드 매표소
6,에버랜드 판다월드
6,에버랜드 사파리월드
6,에버랜드 T 익스프레스
6,에버랜드 장미원
6,포메인 에버랜드 직영점
11,형제 네 생소금 구이
7,서울로 717
11,효자손 왕만두
2,숭례문
11,폴 바셋 서소문점
22,경기도 안산시 단원구 고잔동 528-108
11,영돈
11,양평 해장국 수원 본점 주차장
11,커피에 반하다 수원 시청역점
11,장안 면옥
12,유토피아추모관
10,엄니 토종 추어탕 본점
4,쌍용 폐기 닭 본점
11,해장촌
2,바리고 빈스
2,화성 융릉과 건릉
11,떡 잘 곡반정점
9,삼목선착장
5,휠 프렌즈
11,이소리라 식당
2,수기 해변
9,신도항(옹진)
7,예단포둘레길
2,행정안전부 대통령기록관
1,국립세종수목원
11,팽쇼 과자점
4,그리너리
3,국립세종 도서관
3,정부세종청사 체육관
3,평택호 예술공원 평택호 예술관
4,메인스트리트
1,소풍 정원
11,미스진 햄버거 송탄 본점
1,평택시 농업 생태원
11,어디 카페
1,내리 문화공원
4,장흥농협 하나로마트 송추점
24,대궐 캠핑 글램핑 펜션
11,대궐 산장식당
1,마장호수
22,시흥 센트럴 푸르지오 아파트
5,푸른 솔 GC 포천
10,모항항 수산물 직판장
24,바다가 예쁜 펜션
11,저녁노을 횟집
11,라르고 펜션 2호점
4,영성가가
11,시골밥상
9,천안 고속버스터미널
9,혜화역 4호선
3,링크 아트센터
11,일미리 금계 찜닭 대학로점
3,예스24 스테이지
24,한화리조트 용인 베잔송
24,봉화 회관
11,두부 마당 포곡 본점
4,트레이더스 홀세일 클럽 안산점
4,백령 할인마트
24,아침 풍경펜션
4,사이 바다
7,개포동 근린공원
11,백년 교동 짬뽕 개포점
11,플랑크
11,오리지널 팬케이크 하우스 잠실점
24,류 게스트하우스
11,런던 베이글 뮤지엄 도산점
11,호남 식당
11,컴포즈커피 먹골 중랑점
8,서울 장미축제
11,보슬보슬 압구정본점
9,제주 국제공항
9,김포국제공항 국내선
11,버거킹 시청역점
3,서울시립미술관 서소문 본관
11,정동 그 집
11,용호동 낙지 북창점
2,덕수궁 중명전
2,덕수궁
11,정동 전망대
11,행복 전집 북창점
11,더블린 브루어리 시청점
24,스텝 인 명동 
24,콘래드 서울
11,제스트 콘래드 서울점
13,BMW 한독모터스 서초전시장
11,프랭크 버거 교대역점
13,감성 교복 잠실 본점
6,롯데월드
11,페어링 룸
1,도산 근린공원
4,탬버린즈하우스도산
4,WI 컨벤션
11,체크인
11,더블 해피니스
4,서울숲 카페거리
11,유즈풀아뜰리에
7,서울숲
10,LCDC 서울
11,bd 버거 성수
24,국립 무의도 자연휴양림
11,선녀풍
11,거해 짬뽕 순두부
7,국립 무의도 자연휴양림
1,실미해수욕장
11,메이 드림
11,가마솥 닭 한 마리 북가좌동 직영점
2,연천 전곡리 선사유적지
11,황해 냉면
11,연천 회관
1,재인폭포
1,좌상 바위
11,크리미에
13,씨사이드 파크
11,카페 건
6,슈퍼키즈 스카이 방방 하늘도시점
11,봄이 보리밥 영종점
1,구읍뱃터
1,영종하늘공원
9,신경주역
11,도이동 집
3,리움미술관
11,맥심 플랜트
3,63아트
11,더반 베를린 더 현대 서울점
11,호우 섬 더 현대 서울점
24,레스 호텔
11,꽁시면관 본점
2,천주교 서울 대교구 주교좌 명동 대성당
11,적당
2,문화역 서울 284
9,마루 호 텔 본관
2,화성행궁
2,수원 화성 화서문
11,무얼 수원 행궁점
24,마루 호텔 본관
11,남문 통닭 수원 본점
11,스타벅스 대전엑스포 스카이점
11,성심당 본점
9,남부터미널 역 3호선
9,청담역 7호선
4,발라드 지디 청담
9,답십리역 5호선
9,회기역 1호선
11,따봉 하우스
10,아트박스 경희대점
11,인생 맥주 경희대점
9,송내역 1호선
11,스타벅스 답십리역점
9,영등포역
10,알라딘 중고서점 영등포점
3,CGV 영등포
11,스시로 타임스퀘어점
24,토요코인 호텔 영등포점
10,CU ATM 영등포 라이프점
11,토요코인 호텔 영등포점
4,타임스퀘어
11,오월의 종 타임스퀘어점
11,호우섬
4,롯데백화점 영등포점
4,송내역 상가
7,둘리 광장
4,둘리의 거리
7,하얀 마을 어린이공원
7,미리내공원
4,롯데백화점 중동점
9,신중동 역 7호선
9,강남역 2호선
11,낙원 타코 강남역점
11,더블린 브루어리 강남점
4,둘리의 거리(송내역 로데오거리)
7,굳이공원
7,부천중앙공원
4,뉴코아 아울렛 부천점
9,오산역 1호선
9,안양역 1호선
7,양명이 교
4,유니클로 엔터식스 안양역점
1,관악산 산림욕장
2,망해암
4,엔터식스 안양역점
11,만원 족발
7,한 아름공원
4,상동시장
11,이나경 송탄 부대찌개
13,수원 전통문화관 예절교육관
11,르빵드파리&브런치하우스 행궁점
11,평지다
24,제이 모텔
11,진미 통닭
2,장안문
11,유치 회관
1,효원공원
2,효원공원 월화원
11,똘이장군 돼지 부속
11,인생 맥주 파주 야당점
11,탐라 포차 야당점
3,롯데시네마 파주 운정
11,산들 마당 솥뚜껑 삼겹살
4,보스 포차
7,짚풀공원
11,송이현의 파주 국물 없는 가락국수
11,류재은 베이커리 본점
4,프로방스 마을
24,드림 게스트하우스
4,커피빈 서울스퀘어점
11,남산 편백 집
3,CGV 용산 아이파크몰
9,부산역
24,준 게스트하우스
3,보드게임카페 홈스 앤 루팡 홍대점
23,서울시 강남구 역삼로3길 17 4층
4,대현네
4,원조만 선호 프 노가리 체인 본점
24,누 누 모텔
11,스시 세스나
24,호텔 스테이지 79
4,오랑주리
11,해물 천하 조개구이 신곡 본점
2,니지 모리 스튜디오
11,홍이 부대찌개
11,브루다 양주
4,타임 테라스 A 블록
10,올리브영 석촌역점
11,인딕슬로우 송리단길점
11,워디 아더
4,스타필드 코엑스몰
3,탑 플레이스 PC방 신천점
3,잠실종합운동장
8,서울대공원 장미원 축제
3,63스퀘어
24,호텔에 펠리체
13,국립어린이과학관
4,더 현대 서울
24,켄싱턴호텔 여의도
6,서울랜드
9,다산 아이파크 아파트
9,화랑대역 6호선
9,한강진 역 6호선
11,포 포인츠 바이 쉐라톤 조선 서울역
9,갈월동 버스정류장
2,국립중앙박물관
11,자유 궁
24,포천 자연마을 서울 캠핑장
13,고석정 국민관광지
1,한탄강 하늘다리
8,포천 봄꽃 정원
11,관인 약수터 막국수
2,화적연
1,비둘기낭폭포
12,백교
12,포천시 이동면 장암리 613-1 하천
9,서대전역
11,천씨씨커피 부천 심곡점
7,심곡천
10,해님 토이
11,통 큰 해물 손칼국수 소래포구 본점
1,소래포구
4,소래포구 종합어시장
4,바다쏭 인천 연수점
11,아리 아리랑
7,송도센트럴파크
9,대전역
4,롯데월드타워
24,롯데호텔월드
2,올림픽공원
24,W 미니 호텔
9,이인 휴게소 천안 방향
11,암반
8,반포 한강공원
7,고속터미널역 9호선 앞 정자
11,KFC 강남고속 터미널점
11,하니 칼국수
3,아이센스 리그 PC방 압구정점
10,런던 베이글 뮤지엄 도산점
3,올림픽공원 SK 핸드볼경기장
11,노브랜드 버거 고속 터미널점
9,경기 광주 휴게소 경기도 광주방향
1,하나개해수욕장
9,김포공항 역 공항철도
11,장기동 먹자골목
12,금빛 수로 보트하우스
11,문래 돼지불백 김포 장기범
8,아라 김포여객터미널 아라마린센터
11,육십리 김포 장기범
10,롯데마트 김포한강점
11,팡제요리 김포점
11,참다랑어 마구 주는 집 참치정육점
11,빠레뜨한남 김포라베니채점
11,스타벅스 김포 장기점
9,울산공항
24,펠리스 빌
11,선셋 무드
1,부천 자연 생태공원
11,드롭 탑 오송역 언더패스점
11,마복림
11,숏 스트리트
11,파스쿠찌 센트로 서울점
11,막내 횟집 본점
24,신라스테이 광화문
11,스타벅스 종로구청
11,청송
7,아이파크몰 용산점 the roof
4,아르고 티
11,문지리 535
2,임진각 평화누리
3,헤이리 예술마을
11,교하 제면소
13,아시안 갯벌 체험장
9,평택 지제역
12,삼성서울병원
9,일원역 3호선
11,수정식당
12,연세 센스 의원
11,가네코 롯데백화점 영등포점
11,던킨 영등포 역사점
1,율봄식물원
11,퇴촌 갈비 밥
4,어로프 슬라이스피스
24,글램비글램핑
1,오이도
1,대부바다 향기테마파크
5,서평택 골프클럽
11,한길 주꾸미
2,광교역사 공원
4,행리단길
11,수원의 아침 행궁점
7,광교호수공원
24,대이작도 마린 스포츠
5,소이작도 부근 배 낚시터
11,캔 아버니 카페 편의점
13,바지락 체험어장
24,대이작 마린 스포츠
11,두루두루 대부도점
1,대이작도 해안탐방로
24,라마다 앙코르 바이 윈덤 김포한강호텔
13,배단골 테마파크
11,신 옛 찻집
11,꽃누리들 밥 경복궁점
7,열린 송현 녹지 광장
4,쌈지길
2,광화문 교대식
11,애즈 라이크
3,서울미술관 
2,석파정
11,커피빈 새문안로점
24,힐스테이트에코 마곡나루역 오피스텔
11,외당
4,랜돌프 비어
11,초장집 마곡나루역점
24,힐스테이트 에코 마곡 오피스텔
11,다운데 어
11,토향
3,콩치노 콘크리트
11,오백년 누룽지 백숙 본점
11,메가 MGC 커피 파주 법흥리점
11,옛 나루터
2,실학박물관
10,CU 양평 쉬자 파크 점
13,양평 유아숲 체험원
24,쉬자 파크 치유의 집
6,쉬자 파크 발목 풀장
12,천운봉주유소
7,쉬자 파크
11,숲엔 커피
12,대박 주유소
4,화성행궁 광장
4,행궁 어울림 카페
11,이 가공
3,안산문화 예술의전당
11,아웃백 스테이크하우스 안산 고잔점
7,문화 예술 플랫폼 스테이션 A
11,소담해
11,삼고 집 파주점
13,활판인쇄 박물관
7,파주출판 단지 근린공원
4,롯데 프리미엄 아울렛 파주점
24,트멍캠핑장
11,온누리 석갈비
11,강릉 초당 두부래요
4,여주 축산농협 강변지점
24,캠핑 주막
11,초계국수 칼국수
2,대한불교조계종 신륵사
11,카페보뜰
11,구름산 추어탕
11,마니산 산채
1,동막해수욕장
2,분오리 돈대
11,카페 이림
24,어반 티지 글램핑 카라반
11,조양 방직
11,두부향
24,에코에 캠핑장
11,일 미담
1,에코에 캠핑장
24,파크 마린 호텔
11,도깨비 조개구이
1,월미공원
13,월미 바다역
4,인천 차이나타운
5,영종 씨사이드 레일바이크
6,파라다이스 시티 원더 박스
24,파라다이스 시티
11,가장 맛있는 족발 인천 영종도점
11,파리바게뜨 공항 신도시점
11,바다 앞 테라스
10,자연도 소금빵
24,동두천 자연휴양림 복층 4호
11,용암리 막국수
11,말똥 도넛 파주점
11,황해 짬뽕집
11,이성당 본점
9,홍성휴게소 서울 방향
4,시흥 프리미엄 아울렛
24,더 휴식 아늑 호텔 월곶 지점
11,정인 면옥 평양냉면
24,블룸 비스타
11,들꽃
11,노다지 장어
11,현대그린푸드 현대 블룸 비스타지점
4,스타필드 하남
24,쉐르빌 온천관광호텔
9,양평역
3,이함 캠퍼스
11,긴자
11,로드
11,와이피회마켓(YP회마켓)
11,두물머리 연 핫도그
11,델리에 떼
8,양평 물 맑은 시장
11,정통 춘천 닭갈비
11,흑이재
11,망향비빔국수 궁평 본점
2,전곡선사 박물관
24,산촌 오토캠핑장
6,놀자 숲
13,서해랑 제부도 해상 케이블카 전곡 정류장
11,부커피 카페
1,제부도 해안산책로
13,서해랑 제부도 해상 케이블카 제부정류장
11,물레방아
11,송담 칼국수
12,행담도 휴게소 양방향
9,모란역 23번 출구
9,한국은행 경기본부
11,세컨드 디포리스트 수원 행궁점
11,GS25 수원 행리단길점
12,포토 이즘 컬러 드 수원 행궁점
4,기글드제니
11,서울 페이스트리 행궁점
13,행궁동 벽화마을
2,수원 화성
24,호텔도노
11,정지영커피로스터즈 장안문점
11,보영 만두 북문 본점
13,수원 전통문화관 전통식생활 체험관
9,장안공원
9,신흥역 8호선
11,메가 MGC 커피 신흥역점
8,한탄강 생태경관 단지
11,오가 국수
11,카페 그랑블루
12,코트야드 메리어트 서울남대문 모모라운지&모먼츠라운지
4,남대문시장
24,포 포인츠 바이 쉐라톤 조선 서울 명동
2,국립고궁박물관
2,대한민국역사박물관
4,교보문고 광화문점
4,웨스틴조선 서울
4,명동거리
4,서울 드래건 시티 알라 메종 와인 다인
24,포 포인츠 바이 쉐라톤 서울 구로
1,제부도 갯벌체험장
11,조개 마당
7,아라김포여객터미널
1,센트럴파크
4,포레스트아웃팅스 송도점
24,호텔코고라
11,싱싱 동암 어시장
6,마이랜드
4,풍미
4,써브웨이 부평중앙점
3,스퀘어 세븐 주차장
7,청라 호수 공원
11,로뎀 돈가스
7,청라 창해 문화공원
24,호텔 아띠
11,온 셈 본점
11,요멘야고에몬 강남점
5,수원 KT위즈 파크
24,포 포인츠 바이 쉐라톤 수원 호텔
11,서삼 28 인계 나혜석거리점
12,포 포인츠 바이 쉐라톤 수원 호텔
1,효원공원 월화원
11,마니산 도토리
13,강화 루지
13,강화 캠핑파크
3,국립과천과학관
4,마이 알레 과천 빌리지 카페
11,선녀풍 2호점
1,선녀바위
11,카페 림
12,비케이 에너지 석산 주유소
9,문경휴게소 양평방향
2,전쟁기념관
2,효창공원 백범 김구기념관
11,아이 러브 신당동
24,나인 트리 프리미어 호텔 인사동
4,안녕 인사동
11,오든내 닭갈비 인사동점
2,서대문형무소 역사관
1,서울숲
2,조계사
2,탑골공원
13,청계천
3,마로니에공원
9,낙동강의성 휴게소 주유소 영천 방향
9,"삼목항(장봉,신도)"
1,장봉도 공룡 침식 동굴
7,장봉도
2,가막머리 낙조
11,0415카페
9,장봉한
11,나루터 식당
24,세인트 펜션
9,남양주 별내 휴게소 포천 방향
4,포천농협 하나로마트 신북점
11,복지 순두부
4,현대 프리미엄 아울렛 스페이스원
13,삼상리 마켓
1,송추계곡
11,오핀 베이커리
13,김포함상공원
10,강화 남부농협 하나로마트 본점
22,숙소
11,신길 가든
2,옥토끼우주센터
11,강화섬 쌀밥집
2,오두돈대
2,선학 감리교회
11,고구려 짬뽕 111 선학점
2,인천도시 역사관
11,체크크로플 롯데월드몰점
11,한신포차 송파 방이점
1,석촌호수동호
9,롯데월드타워
9,소사역 1호선
24,Capsule 24
13,짜장면 박물관
13,대불호텔 전시관
4,관동 오리진
24,토요코인 호텔 인천 부평점
9,안동역
11,혜성 칼국수
24,소테츠호텔즈 더 스페라지르 서울 명동
8,서울광장
11,폴 바셋 코리아나호텔점
7,청계천
11,만족 오향 족벌 시청점
24,소테츠호텔즈 더 스페라 지르 서울 명동
11,스타벅스 세종대로 점
13,남산공원 N서울타워
13,서울 시티투어버스
11,청국장 밥 삼청동점
11,북촌 호떡
7,광화문광장
4,동대문디자인플라자
11,빨라쪼델프레도 오타로 동대문 디자인 플라자점
3,동대문디자인플라자
11,온 셈 SFC 광화문점
11,농민 백암순대 시청 직영점
11,덕수궁 링에제와플
3,한국은행 화폐박물관
2,덕수궁 돌담길
11,애성 회관
2,통일부 판문점 견학안내소
2,판문점
11,파리바게뜨 당동 현대점
24,그랜드 인터컨티넨탈 서울 파르나스
13,루체테포토
11,팀호완 삼성점
11,디저트 39 삼성점
11,그랜드 인터컨티넨탈 서울 파르나스 그랜드 키친
10,힐링 텐트 반포점
1,반포 한강공원
11,스타벅스 강남 교보 타워 R 점
10,VIP 동물의료센터 서초점
10,GS25 경춘 대성점
10,청평 그린 충전소
24,가평 밤나무 숲 캠핑장
4,가평 잣 고을시장
1,지방도 제391호선
4,고거산 족발보쌈
24,새와 참새
13,한국 초콜릿 연구소 뮤지엄
11,농부의 뜰
24,핀란드 캠핑성
9,소요산역 1호선
10,농협 하나로마트 더 둔 점
24,백구가 든 펜션
10,GS25 광주송정점
9,광주송정역
24,바나나 PC
9,수서역
11,어멍 네고 기국서
24,더 큐브 호텔
10,메가 MGC 커피 명동중앙점
12,보디 플렉스 짐
11,흥에 취한 범 홍대
11,농장 사람들 잠실 신천점
5,리얼 야구존 신천점
11,꽃비에 동서울 터미널점
3,서울 코미디 클럽
11,최우영 식당 홍대점
24,서울숲 스테이
11,양키스 피자
10,더 죠이
9,동대구역
4,먼치스앤구디스
4,성수동 카페거리
7,뚝섬한강공원
11,성수 베이킹 스튜디오
12,더 컨벤션 송파 문정점
7,석촌호수 산책길
11,참새 초밥 구월점
24,카카오 호텔
8,현대 프리미엄 아울렛 김포점
24,아셈 호텔
11,상화
1,전류리포구 공터 한강뷰
10,홈플러스 익스프레스 인창점
24,약수동산
4,양평 물 맑은 시장
11,스타벅스 경기 양평점
11,이스트
11,2461커피 스테이션
1,세미원
11,벅시 분식
10,구리 식자재마트
11,라플 러시
11,라화방마라탕
11,컴포즈커피 성남 수정으로 점
10,CU 성남 화인 점
3,롯데시네마 성남중앙
11,성남중앙 칼국수
11,게임 플레이스
1,관악산 연주대
11,소래산 묵밥
12,한국외국어대학교 서울캠퍼스
4,롯데월드타워 롯데월드몰
10,사봉 롯데월드몰점
11,크리 에잇 쿠키 롯데월드몰점
11,치즈 룸 테이스팅 룸 롯데월드몰점
11,폴 바셋
9,경복궁역 3호선
11,빅토리아 베이커리
10,원모어 백
11,르 풀
10,교보문고 광화문점
24,글래드 여의도
11,용호동 낙지 여의도 직영점
11,폴 바셋 여의도 IFC 몰점
11,번 패티 번
10,블루 보틀 여의도 카페
7,여의도공원
1,가평 양대목장 카페
24,가평 프리미엄 키즈 풀빌라
7,매헌 시민의 숲
11,앨리 스토리 커피 볶는 집
11,롯데리아 서울 역사점
3,문화역 서울 284
11,채 그로 카페
11,진주회관
24,호텔쿠레타케소 인사동
11,스타벅스 북촌로점
11,런던 베이글 뮤지엄 안국점
11,모레노 라멘 인사점
3,국립현대미술관 서울관
7,여의도 한강공원
10,이마트 의정부점
11,땡큐
1,산정호수
2,돌담 병원
24,자일 랜드 글램핑
11,남원 추어탕
12,스카이랜드
11,아웃백 스테이크하우스 부천 상동점
11,상무 초밥 부천 상동점
11,망향비빔국수 화성점
1,송도센트럴파크
4,트리플 스트리트
24,경원재앰배서더 인천
11,금문도
11,숙성도 송도점
24,아멕스 랜드
11,어에 돈
4,임진농협 하나로마트
2,경기북부 어린이 박물관
4,전 공장
12,동두천지점 주유소
11,그린달
1,관악산
11,남궁야
11,참새방앗간
3,김포함상공원
11,수철이 네 왕새우튀김 본점
2,초지진
11,파리바게뜨 강화 길상점
2,온수리 교회
2,전등사
10,롯데마트 금천점
24,노을캠핑장
11,중화요리 금성
11,로컬까회
4,대명항 수산물 직판장
7,김포함상공원
2,청와대 본관
11,남도식객
12,인사동 문화의 거리
11,테라로사 국립현대미술관 서울점
12,광화문광장
13,한국 집 롯데월드몰점
13,서울스카이
9,순천역
11,장군 굴보쌈
8,광화문광장
10,부뚜막 구이
4,아이파크몰 용산점
11,복사꽃 피는 집 화성 안녕 점
2,용주사
9,문경휴게소 창원방향
1,별천계곡
7,여항산 호수길
2,무진장
4,식목일
11,하마스 빅버거
1,광암해수욕장
11,주도 횟집
1,아시안 해변
11,동해 막국수
9,구읍뱃터 선착장
9,월미도 선착장
11,도나 스테이 본점
6,바운스 슈퍼 파크 수원 영통 센터
6,캐리비안베이
4,디온 카페
11,도선재
10,CU 가평 쁘띠프랑스 점
11,까이 식당
12,이화여자대학교
2,국립현대미술관 과천관
11,심플리 키친
1,여의도 한강공원
24,서울 큐브의화
11,마더린러베이글
3,아트하우스 모모
11,돈 천동 식당
11,나무 아래 오후 N 2호점
24,스테이에 펜션
1,북한강
1,청평 자연휴양림
13,레이크 스토어
7,마장호수 출렁다리
11,오랑주리
3,서원밸리 CC 자선 그린콘서트
4,현대백화점 중동점
11,분더 커피나
11,와플 대학 부천역캠퍼스
7,자매 근린공원
4,오한구 우육 면가 오투 타워 직영점
7,선유도공원
11,써브웨이 당산역점
4,현대백화점 목동점
11,주막 보리밥 서오릉 본점
11,조개야놀자
11,롯데리아 인천 소래포구역점
11,지는 연례 식당
6,슈슈 봉봉 인천 논현점
11,행궁 빙수
7,수원 화성 북서적대
13,경기 상상 캠퍼스
1,수원 탑동 시민농장 후문
4,AK플라자 수원
4,사마르칸트 본점
3,백석예술대학교 예술도
4,홈플러스 동대문점
11,애니 오케이션 카페
11,본 스테이크 신당점
11,지로 라멘
11,터라비
24,경기도 교직원 가평 서덕원
6,아침 고요 가족 동물원
11,가평 잣 두부집
24,곤지암리조트
5,곤지암리조트 곤지암 루지 36
1,화담숲
10,원조 최미자 소머리국밥 본관
11,카페 찬마루
13,한국도자재단 경기도자 박물관
4,엠룸
2,팔달산
11,제비 곳간 행궁 별식
11,루파즈 블랑제리
11,설 가옥
2,정약용 유적지 기념관
2,정약용 유적지 생가
11,앳 더 팔당 키친 베이커리
21,집
11,담원
4,카리브해
1,용산 어린이 정원(용산공원 반환부지)
3,국립중앙박물관
11,능동 미나리
9,방아머리 선착장
9,대부
11,해물 천국
11,농업회 사법인 호박 회관
24,박지름 해변
9,덕적도항
11,홍가네 감자탕 본점
9,하남 드림 휴게소
10,CU 여주 번 도리점
24,금은모래 캠핑장
11,이디야커피 여주 남한강점
11,하노이별 송도점
4,아트 폴레
11,돌핀 커피 오마카세
11,인생 맥주 송도센트럴파크 점
24,아트 폴레
11,들밥애 송도점
11,배스킨라빈스 송도 타임스페이스점
4,송도 타임스페이스
11,버거킹 송도 타임스페이스점
10,지유명차 송도점
4,더 하노이 풋앤바디 송도 타임스페이스점
4,에이앤느 송도 본점
4,CGV 송도 타임스페이스
4,해피타임 노래연습장
11,컴포즈커피 송도 한라웨스턴 파크점
11,이태리 송도 랜드마크시티점
4,현대 프리미엄 아울렛 송도점
11,스타벅스 송도 현대 아울렛점
4,삼송 빵집 현대 프리미엄 아울렛 송도점
9,신탄진역
11,진옥화 할미 원조 닭 한 마리 본점
24,호텔야자 종로점
4,스타벅스 북촌로점
3,하리보 스토어인 서울
11,채선당 성수점
4,스타벅스 서울 역사점
11,이설화 하남미사점
22,하남 더 숍 센트럴뷰 아파트
5,미사리 조정경기장 정문
6,아쿠아 필드 하남
4,데카트론 하남 스타필드 직영점
4,트레이더스 홀세일 클럽 하남점
9,노원역 4호선
9,대화역 3호선
1,킨텍스 중앙공원
3,킨텍스
11,삼지연 평양냉면 전문점
4,공차 대화역점
9,상계역 4호선
11,배스킨라빈스 중계은행점
24,국립 아세안자연휴양림
7,국립 아세안자연휴양림
13,국립 아세안자연휴양림
9,맥도날드 양주 휴게소 DT점
13,서울시 서남물 재생센터
11,토마토김밥
2,창조 자연사박물관
1,시흥갯골생태공원
13,소이산 모노레일 철원역
1,고석정 꽃밭
11,상하이
11,카페 마들렌
24,엠앤 러키 호텔
9,김해국제공항 국내선 청사
4,익선동 한옥거리
24,이비스 스타일 앰배서더 명동
4,이누스 강남 직영점
11,앰배서더 서울 풀만 더 라운지 앤 바
11,스미 로우
24,마리 하우스펜션
2,강화 부근리 고인돌
2,대한 성공회 강화성당
11,뉴욕뉴욕
1,두물머리
1,두물머리 연 핫도그
2,용문사
11,몽실식당
13,어둠 속의 대화
4,놀러와
4,감동 칩스 북촌 본점
4,백 년 토종삼계탕 북촌점
2,조선어학회 터
2,가회동성당
4,배스킨라빈스 삼청 마당점
4,솔트 24
4,설화수의 집 북촌
12,프레시 성형외과의원
11,이끼 롤 가스 가로수길 본점
4,가로수길
4,카페 뭔지
4,신세계백화점 본점
4,롯데백화점 본점
24,HB 엘림 캐슬 오피스텔
4,강화풍물시장
11,황토 장인 만찬 강화도 본점
2,채플 갤러리
3,한옥카페 갤러리도 솔
11,화랑 농장
4,킴스클럽 부평점
11,워크업커피 부평점
11,헤올커피로스터즈
24,탑클라우드 호텔 수원점
11,슬로 써니사이드
3,마이아트 뮤지엄
11,스타벅스 삼성역 섬유센터 R 점
3,롯데시네마 월드타워
7,석촌호수 서호
11,니커보커 베이글
11,서정적 살롱
4,송리단길
9,석촌역 8호선
4,원삼농협 하나로마트 본점
24,철이네 캠핑 랜드
11,고 황 감자탕 백암점
5,곤지암리조트 스파 라 스파
11,크래프트 한스 곤지암점
1,곤지암 리조트 생태하천
4,청국장과 보리밥 곤지암점
4,현대백화점 판교점
11,펠트 판교점
13,소리울 도서관
7,오산 맑음터 공원
11,메르오르카페 본점
24,더 플라자
13,서울광장
2,세종 충무공이야기
11,닥터로빈 광화문점
4,광화문광장
13,다이내믹 메이즈 서울 인사동점
11,바비치 성서점
7,대구 성서운동장
1,와룡산
11,바라던 바다 대게 새우
1,금호 꽃섬
8,이곳 장미공원
11,설빙 대구 성서점
11,풍년 구생 막창 본점
